x,y,V
1,0,1
1.005,0,1.01002
1.01,0,1.0201
1.015,0,1.03022
1.02,0,1.0404
1.025,0,1.05062
1.03,0,1.0609
1.035,0,1.07122
1.04,0,1.0816
1.045,0,1.09202
1.05,0,1.1025
1.055,0,1.11302
1.06,0,1.1236
1.065,0,1.13422
1.07,0,1.1449
1.075,0,1.15562
1.08,0,1.1664
1.085,0,1.17722
1.09,0,1.1881
1.095,0,1.19903
1.1,0,1.21
1.105,0,1.22103
1.11,0,1.2321
1.115,0,1.24323
1.12,0,1.2544
1.125,0,1.26562
1.13,0,1.2769
1.135,0,1.28822
1.14,0,1.2996
1.145,0,1.31103
1.15,0,1.3225
1.155,0,1.33403
1.16,0,1.3456
1.165,0,1.35723
1.17,0,1.3689
1.175,0,1.38063
1.18,0,1.3924
1.185,0,1.40423
1.19,0,1.4161
1.195,0,1.42803
1.2,0,1.44
1.205,0,1.45203
1.21,0,1.4641
1.215,0,1.47623
1.22,0,1.4884
1.225,0,1.50063
1.23,0,1.5129
1.235,0,1.52523
1.24,0,1.5376
1.245,0,1.55003
1.25,0,1.5625
1.255,0,1.57502
1.26,0,1.5876
1.265,0,1.60023
1.27,0,1.6129
1.275,0,1.62562
1.28,0,1.6384
1.285,0,1.65123
1.29,0,1.6641
1.295,0,1.67702
1.3,0,1.69
1.305,0,1.70302
1.31,0,1.7161
1.315,0,1.72922
1.32,0,1.7424
1.325,0,1.75562
1.33,0,1.7689
1.335,0,1.78222
1.34,0,1.7956
1.345,0,1.80902
1.35,0,1.8225
1.355,0,1.83603
1.36,0,1.8496
1.365,0,1.86322
1.37,0,1.8769
1.375,0,1.89062
1.38,0,1.9044
1.385,0,1.91823
1.39,0,1.9321
1.395,0,1.94603
1.4,0,1.96
1.405,0,1.97403
1.41,0,1.9881
1.415,0,2.00223
1.42,0,2.0164
1.425,0,2.03063
1.43,0,2.0449
1.435,0,2.05923
1.44,0,2.0736
1.445,0,2.08803
1.45,0,2.1025
1.455,0,2.11703
1.46,0,2.1316
1.465,0,2.14623
1.47,0,2.1609
1.475,0,2.17563
1.48,0,2.1904
1.485,0,2.20522
1.49,0,2.2201
1.495,0,2.23503
1.5,0,2.25
1.505,0,2.26502
1.51,0,2.2801
1.515,0,2.29523
1.52,0,2.3104
1.525,0,2.32562
1.53,0,2.3409
1.535,0,2.35623
1.54,0,2.3716
1.545,0,2.38702
1.55,0,2.4025
1.555,0,2.41803
1.56,0,2.4336
1.565,0,2.44922
1.57,0,2.4649
1.575,0,2.48063
1.58,0,2.4964
1.585,0,2.51222
1.59,0,2.5281
1.595,0,2.54402
1.6,0,2.56
1.605,0,2.57603
1.61,0,2.5921
1.615,0,2.60823
1.62,0,2.6244
1.625,0,2.64062
1.63,0,2.6569
1.635,0,2.67322
1.64,0,2.6896
1.645,0,2.70602
1.65,0,2.7225
1.655,0,2.73903
1.66,0,2.7556
1.665,0,2.77223
1.67,0,2.7889
1.675,0,2.80563
1.68,0,2.8224
1.685,0,2.83923
1.69,0,2.8561
1.695,0,2.87303
1.7,0,2.89
1.705,0,2.90703
1.71,0,2.9241
1.715,0,2.94122
1.72,0,2.9584
1.725,0,2.97563
1.73,0,2.9929
1.735,0,3.01022
1.74,0,3.0276
1.745,0,3.04503
1.75,0,3.0625
1.755,0,3.08002
1.76,0,3.0976
1.765,0,3.11523
1.77,0,3.1329
1.775,0,3.15062
1.78,0,3.1684
1.785,0,3.18623
1.79,0,3.2041
1.795,0,3.22202
1.8,0,3.24
1.805,0,3.25803
1.81,0,3.2761
1.815,0,3.29422
1.82,0,3.3124
1.825,0,3.33063
1.83,0,3.3489
1.835,0,3.36722
1.84,0,3.3856
1.845,0,3.40402
1.85,0,3.4225
1.855,0,3.44102
1.86,0,3.4596
1.865,0,3.47823
1.87,0,3.4969
1.875,0,3.51562
1.88,0,3.5344
1.885,0,3.55322
1.89,0,3.5721
1.895,0,3.59103
1.9,0,3.61
1.905,0,3.62902
1.91,0,3.6481
1.915,0,3.66723
1.92,0,3.6864
1.925,0,3.70563
1.93,0,3.7249
1.935,0,3.74423
1.94,0,3.7636
1.945,0,3.78303
1.95,0,3.8025
1.955,0,3.82203
1.96,0,3.8416
1.965,0,3.86122
1.97,0,3.8809
1.975,0,3.90063
1.98,0,3.9204
1.985,0,3.94022
1.99,0,3.9601
1.995,0,3.98003
2,0,4
1,0.01,0.9801
1.005,0.01,0.98997
1.01,0.01,0.99989
1.015,0.01,1.00986
1.02,0.01,1.01988
1.025,0.01,1.02995
1.03,0.01,1.04007
1.035,0.01,1.05024
1.04,0.01,1.06046
1.045,0.01,1.07073
1.05,0.01,1.08105
1.055,0.01,1.09142
1.06,0.01,1.10185
1.065,0.01,1.11232
1.07,0.01,1.12284
1.075,0.01,1.13341
1.08,0.01,1.14403
1.085,0.01,1.1547
1.09,0.01,1.16543
1.095,0.01,1.1762
1.1,0.01,1.18702
1.105,0.01,1.19789
1.11,0.01,1.20882
1.115,0.01,1.21979
1.12,0.01,1.23081
1.125,0.01,1.24189
1.13,0.01,1.25301
1.135,0.01,1.26419
1.14,0.01,1.27541
1.145,0.01,1.28669
1.15,0.01,1.29801
1.155,0.01,1.30939
1.16,0.01,1.32082
1.165,0.01,1.33229
1.17,0.01,1.34382
1.175,0.01,1.3554
1.18,0.01,1.36703
1.185,0.01,1.3787
1.19,0.01,1.39043
1.195,0.01,1.40221
1.2,0.01,1.41404
1.205,0.01,1.42592
1.21,0.01,1.43785
1.215,0.01,1.44984
1.22,0.01,1.46187
1.225,0.01,1.47395
1.23,0.01,1.48608
